SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
158,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,30.66,889.00,890.00,860.00,860.00,874.73,403.00,888.00,"352,516.00",14,-28.00,30.00,-3.15,3.49,-1.71,808.41,833.64,"1,439.00",702.00
159,NTC,Nepal Doorsanchar Company Limited,38.98,835.00,840.80,825.00,837.00,830.25,"17,417.00",830.00,"14,460,526.70",370,7.00,15.80,0.84,1.92,0.81,869.94,881.80,"1,799.90",803.00
160,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,34.41,800.00,800.00,781.00,782.00,788.97,"4,994.00",799.00,"3,940,123.30",99,-17.00,19.00,-2.13,2.43,-0.89,949.07,974.10,"1,244.00",781.00
161,NYADI,Nyadi Hydropower  Limited,33.28,346.00,351.00,335.00,339.00,341.74,"6,775.00",353.00,"2,315,278.20",123,-14.00,16.00,-3.97,4.78,-0.81,303.18,310.29,566.00,241.00
162,OHL,Oriental Hotel Limited,30.29,527.20,538.80,518.00,527.00,529.83,"2,775.00",537.90,"1,470,279.40",31,-10.90,20.80,-2.03,4.02,-0.54,490.56,484.12,602.60,413.80
163,PBD85,8.75% Prime Debenture 2085,32.04,775.40,775.40,775.40,775.40,775.40,50.00,790.00,"38,770.00",1,-14.60,0.00,-1.85,0.00,0.00,862.84,0.00,894.70,759.00
164,PCBL,Prime Commercial Bank Limited,39.78,208.00,219.00,208.00,209.90,209.92,"41,811.00",211.40,"8,776,894.90",258,-1.50,11.00,-0.71,5.29,-0.01,226.97,237.86,343.00,208.00
165,PFL,Pokhara Finance Limited,29.32,398.00,402.90,390.00,392.00,394.42,"7,325.00",396.40,"2,889,098.00",91,-4.40,12.90,-1.11,3.31,-0.62,364.79,366.72,561.00,290.00
166,PHCL,Peoples Hydropower Company Limited,29.36,362.70,373.00,359.00,364.00,363.88,"22,780.00",370.00,"8,289,075.20",810,-6.00,14.00,-1.62,3.90,0.03,0.00,0.00,416.10,196.90
167,PIC,Premier Insurance Company (Nepal) Limited,34.49,620.20,632.60,607.80,628.00,615.15,"7,491.00",630.00,"4,608,094.50",86,-2.00,24.80,-0.32,4.08,2.05,669.04,768.56,978.00,500.10
168,PICL,Prudential Insurance Company Limited,33.66,432.00,445.00,418.00,428.00,424.35,"16,434.00",440.00,"6,973,837.70",122,-12.00,27.00,-2.73,6.46,0.85,386.48,382.86,743.00,328.30
169,PLI,Prabhu Life Insurance Limited,31.79,505.60,519.00,505.60,508.00,511.25,"7,636.00",514.20,"3,903,882.60",200,-6.20,13.40,-1.21,2.65,-0.64,479.21,514.70,651.20,321.80
170,PLIC,Prime Life Insurance Company Limited,37.98,452.20,461.00,452.20,453.00,455.66,"8,355.00",460.00,"3,807,075.70",54,-7.00,8.80,-1.52,1.95,-0.59,678.10,744.30,801.00,441.00
171,PMHPL,Panchakanya Mai Hydropower Limited,26.88,246.20,254.90,243.10,247.00,246.17,"11,673.00",250.90,"2,873,582.40",91,-3.90,11.80,-1.55,4.85,0.33,218.11,221.27,384.40,168.00
172,PPCL,Panchthar Power Company Limited,30.86,358.10,363.00,351.50,352.00,353.54,"11,945.00",360.00,"4,222,984.50",63,-8.00,11.50,-2.22,3.27,-0.44,314.45,310.27,540.00,230.00
173,PPL,People's Power Limited,32.84,295.10,304.90,290.10,297.00,294.97,"14,620.00",299.90,"4,312,522.80",359,-2.90,14.80,-0.97,5.10,0.68,0.00,0.00,336.00,190.00
174,PRIN,Prabhu Insurance Company Limited,35.31,545.00,553.00,543.00,553.00,547.62,"5,315.00",554.00,"2,910,579.70",38,-1.00,10.00,-0.18,1.84,0.97,529.39,630.14,893.00,378.00
175,PROFL,Progressive Finance Limited,26.62,342.10,348.00,335.10,339.00,339.54,"11,266.00",346.00,"3,825,274.60",81,-7.00,12.90,-2.02,3.85,-0.16,299.63,284.34,389.90,192.00
176,PRVU,Prabhu Bank Limited,35.58,193.40,193.40,189.20,189.20,190.50,"32,439.00",190.60,"6,179,560.30",258,-1.40,4.20,-0.73,2.22,-0.69,204.01,210.66,322.00,185.00
177,PSF,Prabhu Select Fund,38.67,8.02,8.30,8.02,8.30,8.19,"5,850.00",8.13,"47,893.00",11,0.17,0.28,2.09,3.49,1.36,8.00,8.14,9.83,7.31
178,RADHI,Radhi Bidyut Company Limited,29.28,266.20,272.90,262.00,262.10,265.62,"54,002.00",269.90,"14,344,155.60",314,-7.80,10.90,-2.89,4.16,-1.34,281.45,376.26,714.00,195.30
179,RBCL,Rastriya Beema Company Limited,31.64,"13,887.00","13,887.00","13,460.00","13,466.00","13,577.79",140.00,"13,700.00","1,900,890.00",6,-234.00,427.00,-1.71,3.17,-0.83,"13,294.73","13,528.47","19,401.90","12,215.00"
180,RBCLPO,Rastriya Beema Company Limited Promoter Share,28.09,"11,385.00","11,612.00","11,385.00","11,385.00","11,441.75",40.00,"11,386.10","457,670.00",3,-1.10,227.00,-0.01,1.99,-0.50,"10,831.97","11,150.15","18,588.00","9,663.00"
181,RFPL,River Falls Power Limited,27.62,295.00,301.00,290.00,290.00,294.36,"13,557.00",298.00,"3,990,659.40",196,-8.00,11.00,-2.68,3.79,-1.50,252.54,0.00,325.00,200.00
182,RHGCL,Rapti Hydro & General Construction Limited,51.19,331.50,356.80,321.60,342.00,335.46,"76,794.00",325.00,"25,761,186.80",729,17.00,35.20,5.23,10.95,1.91,0.00,0.00,356.80,191.60
183,RHPL,Rasuwagadhi Hydropower Company Limited,33.48,309.00,309.00,302.90,303.00,304.61,"38,099.00",303.00,"11,605,242.80",179,0.00,6.10,0.00,2.01,-0.53,254.00,260.65,425.00,210.00
184,RIDI,Ridi Power Company Limited,34.47,361.00,367.70,355.30,357.00,360.75,"41,147.00",362.50,"14,843,678.20",301,-5.50,12.40,-1.52,3.49,-1.05,0.00,0.00,694.50,337.00
185,RLFL,Reliance Finance Limited,35.33,322.00,326.00,313.00,316.00,317.52,"19,590.00",322.00,"6,220,143.30",138,-6.00,13.00,-1.86,4.15,-0.48,323.67,318.26,493.00,222.20
186,RLI,Reliance Life Insurance Limited,35.00,405.00,414.00,401.00,402.20,404.95,"9,198.00",410.00,"3,724,715.40",192,-7.80,13.00,-1.90,3.24,-0.68,426.12,466.06,626.00,310.00
187,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,36.12,"1,009.00","1,040.00","1,009.00","1,016.00","1,020.19","4,993.00","1,029.00","5,093,806.70",93,-13.00,31.00,-1.26,3.07,-0.41,932.76,916.93,"1,182.00",707.00
188,RMF1,RBB Mutual Fund 1,29.15,7.60,7.85,7.60,7.61,7.71,"3,200.00",7.70,"24,670.00",9,-0.09,0.25,-1.17,3.29,-1.31,7.68,7.87,9.54,7.04
189,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,34.23,601.00,620.00,598.00,605.00,600.31,"5,012.00",609.60,"3,008,769.80",64,-4.60,22.00,-0.75,3.68,0.77,552.33,556.22,764.00,450.00
190,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,35.07,882.00,910.00,880.00,882.00,885.28,"1,336.00",899.00,"1,182,735.50",53,-17.00,30.00,-1.89,3.41,-0.37,959.00,964.64,"1,931.70",502.00
191,RURU,Ru Ru Jalbidhyut Pariyojana Limited,41.72,760.00,760.00,754.60,759.90,757.65,532.00,770.00,"403,068.30",13,-10.10,5.40,-1.31,0.72,0.30,788.10,796.06,"1,150.00",665.10
192,SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,48.14,941.00,960.00,941.00,960.00,952.69,"1,502.00",941.00,"1,430,938.80",36,19.00,19.00,2.02,2.02,0.76,983.38,"1,018.63","1,480.00",860.00
193,SADBL,Shangrila Development Bank Limited,33.88,344.00,344.00,333.30,335.00,335.61,"31,808.00",339.00,"10,675,161.70",102,-4.00,10.70,-1.18,3.21,-0.18,312.33,309.87,422.90,245.00
194,SAEF,Sanima Equity Fund,36.89,10.49,10.70,10.49,10.70,10.69,"11,240.00",10.66,"120,155.50",8,0.04,0.21,0.38,2.00,0.09,10.95,11.48,13.88,9.46
195,SAHAS,Sahas Urja Limited,31.37,551.00,556.00,536.00,540.00,543.31,"13,284.00",551.00,"7,217,322.00",288,-11.00,20.00,-2.00,3.73,-0.61,496.43,492.55,715.00,377.50
196,SANIMA,Sanima Bank Limited,36.85,242.00,247.00,238.00,238.00,240.93,"73,296.00",245.60,"17,659,235.70",329,-7.60,9.00,-3.09,3.78,-1.23,251.82,259.37,350.00,222.00
197,SAPDBL,Saptakoshi Development Bank Limited,31.85,259.00,260.00,247.00,250.00,250.42,"8,515.00",256.00,"2,132,338.00",66,-6.00,13.00,-2.34,5.26,-0.17,237.12,236.72,368.00,178.10
198,SBCF,Sunrise Bluechip Fund,33.68,8.03,8.03,8.02,8.02,8.02,"23,200.00",8.19,"186,076.00",5,-0.17,0.01,-2.08,0.12,-0.01,7.69,7.84,9.12,6.85
199,SBI,Nepal SBI Bank Limited,29.00,339.00,339.00,331.00,333.00,332.29,"4,779.00",338.00,"1,587,996.20",44,-5.00,8.00,-1.48,2.42,0.21,292.59,291.96,386.90,251.00
200,SBIBD86,10% Nepal SBI Bank Debenture 2086,41.86,831.20,831.20,831.20,831.20,831.20,25.00,840.00,"20,780.00",1,-8.80,0.00,-1.05,0.00,0.00,"1,005.99",0.00,960.00,831.20
201,SBL,Siddhartha Bank Limited,36.57,281.00,284.00,279.30,282.00,280.84,"16,450.00",281.50,"4,619,821.20",144,0.50,4.70,0.18,1.68,0.41,306.78,312.70,434.00,279.30
202,SCB,Standard Chartered Bank Nepal Limited,30.38,520.00,527.90,518.50,521.60,520.45,"21,682.00",521.20,"11,284,294.20",173,0.40,9.40,0.08,1.81,0.22,435.12,427.64,555.00,375.00
203,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,34.76,849.00,861.10,845.00,849.00,851.40,626.00,860.00,"532,974.00",25,-11.00,16.10,-1.28,1.91,-0.28,956.36,992.53,"1,335.00",845.00
204,SEF,Siddhartha Equity Fund,31.15,8.75,8.75,8.58,8.58,8.60,"6,300.00",8.90,"54,156.00",2,-0.32,0.17,-3.60,1.98,-0.19,8.62,9.11,11.25,7.69
205,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),30.17,310.00,314.00,300.70,302.00,304.61,"21,878.00",305.20,"6,664,320.80",174,-3.20,13.30,-1.05,4.42,-0.87,277.96,265.91,404.10,179.40
206,SGHC,Swet-Ganga Hydropower & Construction Limited,34.64,376.00,385.00,367.00,380.00,375.84,"24,025.00",375.90,"9,029,593.00",295,4.10,18.00,1.09,4.90,1.09,0.00,0.00,411.60,202.10
207,SGIC,Sanima GIC Insurance Limited,32.11,465.00,470.00,461.10,463.00,466.33,"9,279.00",473.00,"4,327,035.80",207,-10.00,8.90,-2.11,1.93,-0.72,0.00,0.00,537.90,374.80
208,SHEL,Singati Hydro Energy Limited,36.16,328.00,331.00,318.00,318.00,325.00,"7,813.00",328.70,"2,539,247.50",106,-10.70,13.00,-3.26,4.09,-2.20,268.64,270.51,512.00,206.10
209,SHINE,Shine Resunga Development Bank Limited,31.64,340.10,344.00,338.00,339.00,339.58,"27,709.00",341.90,"9,409,300.60",160,-2.90,6.00,-0.85,1.78,-0.17,320.48,315.73,429.00,255.10
210,SHIVM,Shivam Cements Limited,32.63,522.90,522.90,511.10,512.40,513.92,"52,366.00",515.00,"26,912,020.40",377,-2.60,11.80,-0.50,2.31,-0.30,606.84,661.08,"1,425.00",490.00
211,SHL,Soaltee Hotel Limited,33.80,224.00,225.00,219.50,221.00,221.65,"28,217.00",223.00,"6,254,385.00",81,-2.00,5.50,-0.90,2.51,-0.30,214.66,212.52,252.60,186.70
212,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,34.16,"2,100.10","2,110.00","2,055.00","2,090.00","2,076.13","2,479.00","2,130.00","5,146,728.00",157,-40.00,55.00,-1.88,2.68,0.66,0.00,0.00,"2,485.20",906.00
213,SHPC,Sanima Mai Hydropower Limited,36.76,317.50,322.00,311.20,313.00,314.69,"67,384.00",322.00,"21,205,273.00",331,-9.00,10.80,-2.80,3.47,-0.54,295.80,303.07,453.00,250.00
