SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
127,NBF3,Nabil Balanced Fund III,33.27,7.40,7.53,7.26,7.32,7.32,"26,400.00",7.32,"193,363.00",28,0.00,0.27,0.00,3.72,-0.06,7.54,7.77,9.48,7.00
128,NBL,Nepal Bank Limited,25.35,259.90,259.90,252.00,254.50,254.21,"11,416.00",255.00,"2,902,100.10",122,-0.50,7.90,-0.20,3.13,0.11,271.93,276.68,327.30,250.00
129,NEF,Nabil Equity Fund,30.15,8.65,8.73,8.56,8.73,8.70,"6,000.00",8.62,"52,207.87",4,0.11,0.17,1.28,1.99,0.33,8.55,8.86,11.25,7.75
130,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,37.83,"2,170.00","2,170.00","2,070.00","2,109.00","2,102.16","16,010.00","2,127.50","33,655,614.00",482,-18.50,100.00,-0.87,4.83,0.32,"2,944.99","2,945.09","3,759.00","1,855.20"
131,NFS,Nepal Finance Limited,28.83,290.00,291.70,285.00,290.00,287.29,"8,675.00",290.00,"2,492,243.10",63,0.00,6.70,0.00,2.35,0.93,284.80,288.99,527.00,213.30
132,NGPL,Ngadi Group Power Limited,28.17,269.00,270.00,264.50,266.00,265.71,"38,896.00",269.00,"10,334,873.10",203,-3.00,5.50,-1.12,2.08,0.11,250.34,257.43,694.00,185.20
133,NHDL,Nepal Hydro Developer Limited,28.25,388.00,398.00,386.00,391.00,391.58,668.00,391.00,"261,578.30",25,0.00,12.00,0.00,3.11,-0.15,358.73,364.49,459.00,294.00
134,NHPC,National Hydro Power Company Limited,27.33,235.00,236.00,230.30,231.00,232.34,"20,369.00",233.00,"4,732,580.00",102,-2.00,5.70,-0.86,2.48,-0.58,226.86,232.09,310.00,176.40
135,NIBD84,8.5% Nepal Investment Bank Bond 2084,33.64,795.10,811.00,795.10,811.00,801.06,40.00,791.80,"32,042.50",2,19.20,15.90,2.42,2.00,1.23,830.57,0.00,927.10,753.40
136,NIBLPF,NIBL Pragati Fund,42.34,8.57,8.60,8.57,8.60,8.58,"1,005.00",8.41,"8,627.85",3,0.19,0.03,2.26,0.35,0.18,8.41,8.72,11.74,7.78
137,NIBSF2,NIBL Samriddhi Fund - 2,34.51,7.25,7.35,7.15,7.35,7.25,980.00,7.36,"7,109.00",5,-0.01,0.20,-0.14,2.80,1.31,7.39,7.52,9.14,6.74
138,NICA,NIC Asia Bank Limited,43.21,726.00,739.00,722.10,735.00,733.20,"36,250.00",728.00,"26,578,451.90",309,7.00,16.90,0.96,2.34,0.25,727.46,708.03,861.90,600.30
139,NICBF,NIC ASIA Balanced Fund,26.74,8.69,8.69,8.52,8.52,8.60,555.00,8.52,"4,771.95",3,0.00,0.17,0.00,2.00,-0.92,8.86,9.44,11.05,8.00
140,NICFC,NIC Asia Flexi Cap Fund,30.13,7.71,7.83,7.70,7.83,7.74,"2,700.00",7.74,"20,892.00",19,0.09,0.13,1.16,1.69,1.18,7.96,0.00,10.00,7.30
141,NICGF,NIC Asia Growth Fund,30.62,8.91,8.98,8.91,8.94,8.95,"31,100.00",9.05,"278,368.00",6,-0.11,0.07,-1.22,0.79,-0.12,9.44,10.00,12.03,8.67
142,NICL,Nepal Insurance Company Limited,34.08,515.00,520.00,515.00,519.10,518.99,"4,915.00",518.00,"2,550,849.80",30,1.10,5.00,0.21,0.97,0.02,467.27,466.27,779.10,385.10
143,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,29.11,580.00,580.00,565.00,572.90,569.57,"4,016.00",573.00,"2,287,382.00",90,-0.10,15.00,-0.02,2.65,0.58,698.26,747.87,"1,040.00",544.00
144,NICSF,NIC Asia Select-30,30.86,7.73,7.99,7.73,7.99,7.89,"3,200.00",7.88,"25,246.00",11,0.11,0.26,1.40,3.36,1.26,7.90,8.02,9.42,7.40
145,NIFRA,Nepal Infrastructure Bank Limited,32.96,218.00,221.70,216.00,218.00,218.81,"67,521.00",218.00,"14,774,198.10",476,0.00,5.70,0.00,2.64,-0.37,208.71,216.20,320.90,176.90
146,NIL,Neco Insurance Limited,32.93,737.00,741.30,737.00,738.00,737.93,"2,452.00",742.50,"1,809,394.00",48,-4.50,4.30,-0.61,0.58,0.01,741.57,734.88,945.00,601.00
147,NIMB,Nepal Investment Mega Bank Limited,27.72,188.00,188.70,182.50,185.00,183.87,"46,710.00",185.00,"8,588,419.00",341,0.00,6.20,0.00,3.40,0.61,0.00,0.00,232.20,177.00
148,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,37.66,178.00,178.00,173.40,173.40,177.98,"32,595.00",180.40,"5,801,390.00",3,-7.00,4.60,-3.88,2.65,-2.64,0.00,0.00,189.30,107.10
149,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,25.36,597.00,598.00,587.40,597.90,589.18,727.00,598.00,"428,331.60",15,-0.10,10.60,-0.02,1.80,1.46,784.31,835.53,"1,100.00",545.00
150,NLG,NLG Insurance Company Limited,41.48,618.00,619.00,607.20,610.00,609.47,"5,382.00",613.00,"3,280,189.90",48,-3.00,11.80,-0.49,1.94,0.09,570.32,544.87,793.50,423.00
